Ai,2016,2017,2018,2019,2020
$A_{1}$,8,6,5,5,10
$A_{2}$,20,16,17,17,17
$A_{3}$,1,1,1,2,6
$A_{4}$,2,2,2,1,2
$A_{5}$,16,17,13,12,12
$A_{6}$,19,19,20,18,16
$A_{7}$,17,18,18,19,19
$A_{8}$,22,21,22,22,24
$A_{9}$,27,27,27,27,27
$A_{10}$,21,20,21,20,18
$A_{11}$,4,7,3,3,1
$A_{12}$,15,13,15,16,21
$A_{13}$,24,24,24,26,26
$A_{14}$,10,8,8,11,11
$A_{15}$,5,4,9,9,8
$A_{16}$,18,22,19,21,20
$A_{17}$,11,10,10,8,9
$A_{18}$,23,23,23,24,22
$A_{19}$,6,5,6,6,4
$A_{20}$,7,11,12,13,14
$A_{21}$,9,9,7,7,7
$A_{22}$,25,25,25,23,23
$A_{23}$,26,26,26,25,25
$A_{24}$,13,12,14,14,13
$A_{25}$,12,14,11,10,5
$A_{26}$,14,15,16,15,15
$A_{27}$,3,3,4,4,3
